Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l]
A1,40.0,4.0,0.002767507,20.0,0.295689875,11.65341131,0.015110137,13.2971192,0.451467332,427.961444,2.82e-05,0.00366849,0.004136342,0.012464235,0.001218845,0.05
B1,40.0,4.0,0.002767507,20.0,0.295689875,11.65341131,0.015110137,13.2971192,0.451467332,427.961444,2.82e-05,0.00366849,0.004136342,0.012464235,0.001218845,0.05
C1,40.0,4.0,0.002767507,20.0,0.295689875,11.65341131,0.015110137,13.2971192,0.451467332,427.961444,2.82e-05,0.00366849,0.004136342,0.012464235,0.001218845,0.05
D1,40.0,4.0,0.002039289,20.0,0.306612067,11.75548434,0.013897101,13.52908234,0.460584389,517.597679,4.28e-05,0.004579118,0.002872137,0.012345357,0.001193607,0.05
E1,40.0,4.0,0.002039289,20.0,0.306612067,11.75548434,0.013897101,13.52908234,0.460584389,517.597679,4.28e-05,0.004579118,0.002872137,0.012345357,0.001193607,0.05
F1,40.0,4.0,0.002039289,20.0,0.306612067,11.75548434,0.013897101,13.52908234,0.460584389,517.597679,4.28e-05,0.004579118,0.002872137,0.012345357,0.001193607,0.05
A2,40.0,4.0,0.000591775,20.0,0.231621781,11.60633421,0.00216746,13.5202382,0.474551025,378.3980333,0.00053095,0.005309325,0.003655278,0.009305956,0.000409879,0.05
B2,40.0,4.0,0.000591775,20.0,0.231621781,11.60633421,0.00216746,13.5202382,0.474551025,378.3980333,0.00053095,0.005309325,0.003655278,0.009305956,0.000409879,0.05
C2,40.0,4.0,0.000591775,20.0,0.231621781,11.60633421,0.00216746,13.5202382,0.474551025,378.3980333,0.00053095,0.005309325,0.003655278,0.009305956,0.000409879,0.05
D2,40.0,4.0,0.011245303,20.0,0.383651046,11.84289036,0.003900394,16.70339783,0.336866442,394.461806,0.000534625,0.005283564,0.004518601,0.007647766,0.000159317,0.05
E2,40.0,4.0,0.011245303,20.0,0.383651046,11.84289036,0.003900394,16.70339783,0.336866442,394.461806,0.000534625,0.005283564,0.004518601,0.007647766,0.000159317,0.05
F2,40.0,4.0,0.011245303,20.0,0.383651046,11.84289036,0.003900394,16.70339783,0.336866442,394.461806,0.000534625,0.005283564,0.004518601,0.007647766,0.000159317,0.05
A3,40.0,4.0,0.01124524,20.0,0.383651045,11.84289036,0.003900352,16.70339783,0.336866438,394.461806,0.000363171,0.005283251,0.004518499,0.007648043,0.00015502,0.05
B3,40.0,4.0,0.01124524,20.0,0.383651045,11.84289036,0.003900352,16.70339783,0.336866438,394.461806,0.000363171,0.005283251,0.004518499,0.007648043,0.00015502,0.05
C3,40.0,4.0,0.01124524,20.0,0.383651045,11.84289036,0.003900352,16.70339783,0.336866438,394.461806,0.000363171,0.005283251,0.004518499,0.007648043,0.00015502,0.05
D3,40.0,4.0,0.011245786,20.0,0.383649536,11.84289029,0.003892349,16.70339782,0.336865931,394.461806,0.000361118,0.005281626,0.004516529,0.006112858,0.000137946,0.05
E3,40.0,4.0,0.011245786,20.0,0.383649536,11.84289029,0.003892349,16.70339782,0.336865931,394.461806,0.000361118,0.005281626,0.004516529,0.006112858,0.000137946,0.05
F3,40.0,4.0,0.011245786,20.0,0.383649536,11.84289029,0.003892349,16.70339782,0.336865931,394.461806,0.000361118,0.005281626,0.004516529,0.006112858,0.000137946,0.05
A4,40.0,4.0,0.020379385,20.0,0.401175763,9.667337085,0.00182793,17.32529161,0.190488624,392.402862,3.04e-05,0.004229314,0.002830549,0.005242994,0.000487423,0.05
B4,40.0,4.0,0.020379385,20.0,0.401175763,9.667337085,0.00182793,17.32529161,0.190488624,392.402862,3.04e-05,0.004229314,0.002830549,0.005242994,0.000487423,0.05
C4,40.0,4.0,0.020379385,20.0,0.401175763,9.667337085,0.00182793,17.32529161,0.190488624,392.402862,3.04e-05,0.004229314,0.002830549,0.005242994,0.000487423,0.05
D4,40.0,4.0,0.012211421,20.0,0.908270662,2.963283898,0.037810184,10.60515703,0.489013501,356.9129311,4.51e-05,0.000789871,0.002844398,0.012311764,0.000256799,0.05
E4,40.0,4.0,0.012211421,20.0,0.908270662,2.963283898,0.037810184,10.60515703,0.489013501,356.9129311,4.51e-05,0.000789871,0.002844398,0.012311764,0.000256799,0.05
F4,40.0,4.0,0.012211421,20.0,0.908270662,2.963283898,0.037810184,10.60515703,0.489013501,356.9129311,4.51e-05,0.000789871,0.002844398,0.012311764,0.000256799,0.05
A5,40.0,4.0,0.013112097,20.0,0.683223162,2.519442577,0.038903819,11.46105443,0.473880626,357.5943362,2.28e-05,0.000598283,0.003273012,0.004395154,0.000531481,0.05
B5,40.0,4.0,0.013112097,20.0,0.683223162,2.519442577,0.038903819,11.46105443,0.473880626,357.5943362,2.28e-05,0.000598283,0.003273012,0.004395154,0.000531481,0.05
C5,40.0,4.0,0.013112097,20.0,0.683223162,2.519442577,0.038903819,11.46105443,0.473880626,357.5943362,2.28e-05,0.000598283,0.003273012,0.004395154,0.000531481,0.05
D5,40.0,4.0,0.013211455,20.0,0.681830551,2.611117244,0.038911145,11.84533813,0.475418515,357.5914266,2.75e-05,0.000644568,0.003253945,0.00438741,0.0005429,0.05
E5,40.0,4.0,0.013211455,20.0,0.681830551,2.611117244,0.038911145,11.84533813,0.475418515,357.5914266,2.75e-05,0.000644568,0.003253945,0.00438741,0.0005429,0.05
F5,40.0,4.0,0.013211455,20.0,0.681830551,2.611117244,0.038911145,11.84533813,0.475418515,357.5914266,2.75e-05,0.000644568,0.003253945,0.00438741,0.0005429,0.05
A6,40.0,4.0,0.011780354,20.0,0.484447415,2.013602585,0.046438278,12.00706338,0.445981355,358.1395225,3.86e-05,0.00100174,0.002717984,0.002788006,0.001485955,0.05
B6,40.0,4.0,0.011780354,20.0,0.484447415,2.013602585,0.046438278,12.00706338,0.445981355,358.1395225,3.86e-05,0.00100174,0.002717984,0.002788006,0.001485955,0.05
C6,40.0,4.0,0.011780354,20.0,0.484447415,2.013602585,0.046438278,12.00706338,0.445981355,358.1395225,3.86e-05,0.00100174,0.002717984,0.002788006,0.001485955,0.05
D6,40.0,4.0,0.011975629,20.0,0.71059656,2.655052419,0.048062542,11.08176173,0.457351548,403.4956408,3.83e-05,0.000423941,0.000995258,0.013830978,0.000170433,0.05
E6,40.0,4.0,0.011975629,20.0,0.71059656,2.655052419,0.048062542,11.08176173,0.457351548,403.4956408,3.83e-05,0.000423941,0.000995258,0.013830978,0.000170433,0.05
F6,40.0,4.0,0.011975629,20.0,0.71059656,2.655052419,0.048062542,11.08176173,0.457351548,403.4956408,3.83e-05,0.000423941,0.000995258,0.013830978,0.000170433,0.05
A7,40.0,4.0,0.010452452,20.0,0.682172435,2.590805234,0.034952276,11.332043,0.470516845,378.7690463,2.4e-05,0.001005472,0.003910162,0.008488106,0.001545663,0.05
B7,40.0,4.0,0.010452452,20.0,0.682172435,2.590805234,0.034952276,11.332043,0.470516845,378.7690463,2.4e-05,0.001005472,0.003910162,0.008488106,0.001545663,0.05
C7,40.0,4.0,0.010452452,20.0,0.682172435,2.590805234,0.034952276,11.332043,0.470516845,378.7690463,2.4e-05,0.001005472,0.003910162,0.008488106,0.001545663,0.05
D7,40.0,4.0,0.012304707,20.0,0.795865812,2.123382156,0.049166603,10.83928925,0.510870868,386.6009757,2.24e-05,0.000945907,0.001124651,0.013716783,0.001156188,0.05
E7,40.0,4.0,0.012304707,20.0,0.795865812,2.123382156,0.049166603,10.83928925,0.510870868,386.6009757,2.24e-05,0.000945907,0.001124651,0.013716783,0.001156188,0.05
F7,40.0,4.0,0.012304707,20.0,0.795865812,2.123382156,0.049166603,10.83928925,0.510870868,386.6009757,2.24e-05,0.000945907,0.001124651,0.013716783,0.001156188,0.05
A8,40.0,4.0,0.011408389,20.0,0.724762958,3.111454749,0.050026193,11.64653191,0.449883378,313.438848,2.82e-05,0.000923338,0.005970631,0.003013863,0.001872268,0.05
B8,40.0,4.0,0.011408389,20.0,0.724762958,3.111454749,0.050026193,11.64653191,0.449883378,313.438848,2.82e-05,0.000923338,0.005970631,0.003013863,0.001872268,0.05
C8,40.0,4.0,0.011408389,20.0,0.724762958,3.111454749,0.050026193,11.64653191,0.449883378,313.438848,2.82e-05,0.000923338,0.005970631,0.003013863,0.001872268,0.05
D8,40.0,4.0,0.004089793,20.0,0.315800402,1.395181417,0.009462414,9.766628563,0.543018441,52.6653948,3e-05,0.000308668,0.000103477,0.000763884,0.000105782,0.05
E8,40.0,4.0,0.004089793,20.0,0.315800402,1.395181417,0.009462414,9.766628563,0.543018441,52.6653948,3e-05,0.000308668,0.000103477,0.000763884,0.000105782,0.05
F8,40.0,4.0,0.004089793,20.0,0.315800402,1.395181417,0.009462414,9.766628563,0.543018441,52.6653948,3e-05,0.000308668,0.000103477,0.000763884,0.000105782,0.05
