Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,14.537805892699078,3.8991904797790555,22.537732482464385,719.2971856249261,0.96846995341279
Random Forest Regressor,15.749907142857145,4.300566223943079,22.90744632227466,772.8106720165173,0.9661242154442686
Support Vector Regressor,108.56995100152308,29.09618703077082,112.97385370012515,24550.525880330406,-0.07616050808651909
Kernel Ridge Regressor,27.05411639592906,7.4594384869407175,33.005033087215594,1821.2574230526734,0.920166055778096
K-NN Regressor,48.548750000000005,14.37649332660029,49.41756897539072,4799.077250000001,0.7896347541848684
Gaussian Process Regressor,14.593353591270748,3.980165961727325,22.72658681100562,729.4637171180294,0.9680243083887108
Gradient Boosting Regressor,14.545800455400576,3.9050702001974633,22.5373432479453,719.5121515640373,0.968460530484117
TPOT Regressor 1,19.789929398148175,5.678267598975341,23.61999363120462,949.5454047218362,0.9583771333380937
TPOT Regressor 2,15.665055370330805,4.335732842590561,23.19098796672307,783.2158826282243,0.965668108035685
TPOT Regressor 3,16.949180085076957,4.850521344944867,23.5415110685929,841.4774489490514,0.9631142402644056
TPOT Regressor 4,15.457978916168209,4.239069558746817,22.84757780284355,760.9609236296901,0.9666436434722802
Ensemble Model,18.916300978642152,5.421647400124239,24.251880822126864,945.9801661252227,0.958533413859264
