Well,H3BO3[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],OD340_pred,OD340_std,Label
A1,0.002767507,0.295689875,11.65341131,0.015110137,13.2971192,0.451467332,427.961444,2.82E-05,0.00366849,0.004136342,0.012464235,0.001218845,51.72423039,11.45768564,explore
B1,0.002767507,0.295689875,11.65341131,0.015110137,13.2971192,0.451467332,427.961444,2.82E-05,0.00366849,0.004136342,0.012464235,0.001218845,51.72423039,11.45768564,explore
C1,0.002767507,0.295689875,11.65341131,0.015110137,13.2971192,0.451467332,427.961444,2.82E-05,0.00366849,0.004136342,0.012464235,0.001218845,51.72423039,11.45768564,explore
D1,0.002039289,0.306612067,11.75548434,0.013897101,13.52908234,0.460584389,517.597679,4.28E-05,0.004579118,0.002872137,0.012345357,0.001193607,50.83872336,11.53886997,explore
E1,0.002039289,0.306612067,11.75548434,0.013897101,13.52908234,0.460584389,517.597679,4.28E-05,0.004579118,0.002872137,0.012345357,0.001193607,50.83872336,11.53886997,explore
F1,0.002039289,0.306612067,11.75548434,0.013897101,13.52908234,0.460584389,517.597679,4.28E-05,0.004579118,0.002872137,0.012345357,0.001193607,50.83872336,11.53886997,explore
A2,0.000591775,0.231621781,11.60633421,0.00216746,13.5202382,0.474551025,378.3980333,0.00053095,0.005309325,0.003655278,0.009305956,0.000409879,49.48974412,11.70793963,explore
B2,0.000591775,0.231621781,11.60633421,0.00216746,13.5202382,0.474551025,378.3980333,0.00053095,0.005309325,0.003655278,0.009305956,0.000409879,49.48974412,11.70793963,explore
C2,0.000591775,0.231621781,11.60633421,0.00216746,13.5202382,0.474551025,378.3980333,0.00053095,0.005309325,0.003655278,0.009305956,0.000409879,49.48974412,11.70793963,explore
D2,0.011245303,0.383651046,11.84289036,0.003900394,16.70339783,0.336866442,394.461806,0.000534625,0.005283564,0.004518601,0.007647766,0.000159317,49.37784133,11.71045679,explore
E2,0.011245303,0.383651046,11.84289036,0.003900394,16.70339783,0.336866442,394.461806,0.000534625,0.005283564,0.004518601,0.007647766,0.000159317,49.37784133,11.71045679,explore
F2,0.011245303,0.383651046,11.84289036,0.003900394,16.70339783,0.336866442,394.461806,0.000534625,0.005283564,0.004518601,0.007647766,0.000159317,49.37784133,11.71045679,explore
A3,0.01124524,0.383651045,11.84289036,0.003900352,16.70339783,0.336866438,394.461806,0.000363171,0.005283251,0.004518499,0.007648043,0.00015502,49.38689119,11.68507358,explore
B3,0.01124524,0.383651045,11.84289036,0.003900352,16.70339783,0.336866438,394.461806,0.000363171,0.005283251,0.004518499,0.007648043,0.00015502,49.38689119,11.68507358,explore
C3,0.01124524,0.383651045,11.84289036,0.003900352,16.70339783,0.336866438,394.461806,0.000363171,0.005283251,0.004518499,0.007648043,0.00015502,49.38689119,11.68507358,explore
D3,0.011245786,0.383649536,11.84289029,0.003892349,16.70339782,0.336865931,394.461806,0.000361118,0.005281626,0.004516529,0.006112858,0.000137946,49.3866378,11.68470134,explore
E3,0.011245786,0.383649536,11.84289029,0.003892349,16.70339782,0.336865931,394.461806,0.000361118,0.005281626,0.004516529,0.006112858,0.000137946,49.3866378,11.68470134,explore
F3,0.011245786,0.383649536,11.84289029,0.003892349,16.70339782,0.336865931,394.461806,0.000361118,0.005281626,0.004516529,0.006112858,0.000137946,49.3866378,11.68470134,explore
A4,0.020379385,0.401175763,9.667337085,0.00182793,17.32529161,0.190488624,392.402862,3.04E-05,0.004229314,0.002830549,0.005242994,0.000487423,51.19186263,11.45346937,explore
B4,0.020379385,0.401175763,9.667337085,0.00182793,17.32529161,0.190488624,392.402862,3.04E-05,0.004229314,0.002830549,0.005242994,0.000487423,51.19186263,11.45346937,explore
C4,0.020379385,0.401175763,9.667337085,0.00182793,17.32529161,0.190488624,392.402862,3.04E-05,0.004229314,0.002830549,0.005242994,0.000487423,51.19186263,11.45346937,explore
D4,0.012211421,0.908270662,2.963283898,0.037810184,10.60515703,0.489013501,356.9129311,4.51E-05,0.000789871,0.002844398,0.012311764,0.000256799,63.79814926,10.31753058,exploit
