Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,2.436536706224481,22.589472372218882,4.155407144752318,23.20411965943785,0.8524911145602656
Random Forest Regressor,2.4719848362573082,24.31599192214013,4.217347737079588,23.896730966136392,0.848088175625562
Support Vector Regressor,6.271703921279455,40.6775932593716,6.656739517538665,83.64645108055299,0.46825844070050116
Kernel Ridge Regressor,3.6501508044764575,31.894894080942954,4.849224574293856,36.83857986735556,0.7658166766431895
K-NN Regressor,4.668884210526315,32.94117081027728,5.641759215860838,53.627926821052625,0.6590865833343684
Gaussian Process Regressor,2.6730909223336776,23.746247218870558,4.132773088640856,24.225228481256785,0.845999912720685
Gradient Boosting Regressor,2.4156896967006753,22.35338621287191,4.163084676672196,23.16683073588864,0.8527281607241676
TPOT Regressor 1,4.244557605944181,35.36487222830094,5.4796158586429655,48.042459228470065,0.6945934722546943
TPOT Regressor 2,3.9826563843902556,33.340874300997314,4.963496663474057,40.49785100444255,0.7425546432251733
TPOT Regressor 3,4.899485466729531,35.98733195810749,5.648129678110438,55.906326699445806,0.6446027661682597
TPOT Regressor 4,5.133468636581781,36.81078850828281,5.361160276433932,55.09453975238197,0.6497633061729398
Ensemble Model,3.881493758783789,33.06620934727593,5.118803146122853,41.26813944823473,0.7376579097365283
