Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l]
A1,40.0,4.0,0.0198714332208918,20.0,0.2057181714707134,2.365079713885357,0.0212426984275333,6.375749172292411,4.320422525776165,21.65290102385834,2.260717329788308e-05,0.001305503291223,8.94099088180904e-05,0.0006049580991208,0.0005500703109386,0.05
A2,40.0,4.0,0.0198714332208918,20.0,0.2057181714707134,2.365079713885357,0.0212426984275333,6.375749172292411,4.320422525776165,21.65290102385834,2.260717329788308e-05,0.001305503291223,8.94099088180904e-05,0.0006049580991208,0.0005500703109386,0.05
A3,40.0,4.0,0.0198714332208918,20.0,0.2057181714707134,2.365079713885357,0.0212426984275333,6.375749172292411,4.320422525776165,21.65290102385834,2.260717329788308e-05,0.001305503291223,8.94099088180904e-05,0.0006049580991208,0.0005500703109386,0.05
A4,40.0,4.0,0.0039182489158771,20.0,1.883662532379336,0.7990893989021151,0.0095321709585921,8.860594843649588,3.425573990105282,15.010087892458984,0.0001021636191714,0.0002545828550089,0.0009375580588041,0.0066632411854679,0.0001914494503812,0.05
A5,40.0,4.0,0.0039182489158771,20.0,1.883662532379336,0.7990893989021151,0.0095321709585921,8.860594843649588,3.425573990105282,15.010087892458984,0.0001021636191714,0.0002545828550089,0.0009375580588041,0.0066632411854679,0.0001914494503812,0.05
A6,40.0,4.0,0.0039182489158771,20.0,1.883662532379336,0.7990893989021151,0.0095321709585921,8.860594843649588,3.425573990105282,15.010087892458984,0.0001021636191714,0.0002545828550089,0.0009375580588041,0.0066632411854679,0.0001914494503812,0.05
A7,40.0,4.0,0.0009277020729606,20.0,0.1147038316362761,0.7491036528463653,0.0243916580093617,8.910734047526637,3.2780691265569413,39.31407230341432,0.0002446392738567,0.0011653042557203,9.939566943096144e-05,0.0047534753946896,5.732487479356909e-05,0.05
A8,40.0,4.0,0.0009277020729606,20.0,0.1147038316362761,0.7491036528463653,0.0243916580093617,8.910734047526637,3.2780691265569413,39.31407230341432,0.0002446392738567,0.0011653042557203,9.939566943096144e-05,0.0047534753946896,5.732487479356909e-05,0.05
B1,40.0,4.0,0.0009277020729606,20.0,0.1147038316362761,0.7491036528463653,0.0243916580093617,8.910734047526637,3.2780691265569413,39.31407230341432,0.0002446392738567,0.0011653042557203,9.939566943096144e-05,0.0047534753946896,5.732487479356909e-05,0.05
B2,40.0,4.0,0.00314630871037,20.0,0.1553165835084419,1.1936594778513832,0.007360880261651,6.570764011943472,2.9346640060646734,102.50034127826277,1.4317902298485726e-05,0.0002275586191163,0.0004723444617425,0.00011005313035,4.500437102381975e-05,0.05
B3,40.0,4.0,0.00314630871037,20.0,0.1553165835084419,1.1936594778513832,0.007360880261651,6.570764011943472,2.9346640060646734,102.50034127826277,1.4317902298485726e-05,0.0002275586191163,0.0004723444617425,0.00011005313035,4.500437102381975e-05,0.05
B4,40.0,4.0,0.00314630871037,20.0,0.1553165835084419,1.1936594778513832,0.007360880261651,6.570764011943472,2.9346640060646734,102.50034127826277,1.4317902298485726e-05,0.0002275586191163,0.0004723444617425,0.00011005313035,4.500437102381975e-05,0.05
B5,40.0,4.0,0.0006609772243615,20.0,0.0721089620459342,0.6709979221875153,0.0031743004485223,10.235411650351802,0.3285859106651058,69.70604450420812,2.4722609576362496e-05,0.0002308987591962,8.46545857681957e-05,0.0004504022005122,9.527954940961232e-05,0.05
B6,40.0,4.0,0.0006609772243615,20.0,0.0721089620459342,0.6709979221875153,0.0031743004485223,10.235411650351802,0.3285859106651058,69.70604450420812,2.4722609576362496e-05,0.0002308987591962,8.46545857681957e-05,0.0004504022005122,9.527954940961232e-05,0.05
B7,40.0,4.0,0.0006609772243615,20.0,0.0721089620459342,0.6709979221875153,0.0031743004485223,10.235411650351802,0.3285859106651058,69.70604450420812,2.4722609576362496e-05,0.0002308987591962,8.46545857681957e-05,0.0004504022005122,9.527954940961232e-05,0.05
B8,40.0,4.0,0.0028959068436055,20.0,2.694506314960099,2.705554243260549,0.0041446239055509,10.053640245332282,0.2034258510385836,392.1878667439706,2.096115060321373e-05,0.0006742103671215,0.0003304833507386,0.0017513549705472,1.2607930824357616e-05,0.05
C1,40.0,4.0,0.0028959068436055,20.0,2.694506314960099,2.705554243260549,0.0041446239055509,10.053640245332282,0.2034258510385836,392.1878667439706,2.096115060321373e-05,0.0006742103671215,0.0003304833507386,0.0017513549705472,1.2607930824357616e-05,0.05
C2,40.0,4.0,0.0028959068436055,20.0,2.694506314960099,2.705554243260549,0.0041446239055509,10.053640245332282,0.2034258510385836,392.1878667439706,2.096115060321373e-05,0.0006742103671215,0.0003304833507386,0.0017513549705472,1.2607930824357616e-05,0.05
C3,40.0,4.0,0.0035694562025313,20.0,0.1349960800985695,5.140923704520288,0.0999957211029138,13.041729559735796,0.1372712936720627,13.077056845043527,6.275118644680217e-05,0.000117967350783,0.0008646848689557,0.0009883573368061,0.0001082841024042,0.05
C4,40.0,4.0,0.0035694562025313,20.0,0.1349960800985695,5.140923704520288,0.0999957211029138,13.041729559735796,0.1372712936720627,13.077056845043527,6.275118644680217e-05,0.000117967350783,0.0008646848689557,0.0009883573368061,0.0001082841024042,0.05
C5,40.0,4.0,0.0035694562025313,20.0,0.1349960800985695,5.140923704520288,0.0999957211029138,13.041729559735796,0.1372712936720627,13.077056845043527,6.275118644680217e-05,0.000117967350783,0.0008646848689557,0.0009883573368061,0.0001082841024042,0.05
C6,40.0,4.0,0.0024984440324635,20.0,0.478785033949659,5.697715655934717,0.0050740449142875,12.5726324888516,2.4743190465653018,34.38118504105477,0.0001987483843734,0.0002660043266444,0.0004001622415671,0.0001880547747504,2.806853419743681e-05,0.05
C7,40.0,4.0,0.0024984440324635,20.0,0.478785033949659,5.697715655934717,0.0050740449142875,12.5726324888516,2.4743190465653018,34.38118504105477,0.0001987483843734,0.0002660043266444,0.0004001622415671,0.0001880547747504,2.806853419743681e-05,0.05
C8,40.0,4.0,0.0024984440324635,20.0,0.478785033949659,5.697715655934717,0.0050740449142875,12.5726324888516,2.4743190465653018,34.38118504105477,0.0001987483843734,0.0002660043266444,0.0004001622415671,0.0001880547747504,2.806853419743681e-05,0.05
D1,40.0,4.0,0.0303065912795353,20.0,0.2469205581084557,0.344223805577828,0.0443978217216546,8.052031557491821,2.115414191986658,373.1583295796795,0.0002977854694412,0.0018221884796009,0.0006830102799704,0.0073256261614473,6.9223704652147e-05,0.05
D2,40.0,4.0,0.0303065912795353,20.0,0.2469205581084557,0.344223805577828,0.0443978217216546,8.052031557491821,2.115414191986658,373.1583295796795,0.0002977854694412,0.0018221884796009,0.0006830102799704,0.0073256261614473,6.9223704652147e-05,0.05
D3,40.0,4.0,0.0303065912795353,20.0,0.2469205581084557,0.344223805577828,0.0443978217216546,8.052031557491821,2.115414191986658,373.1583295796795,0.0002977854694412,0.0018221884796009,0.0006830102799704,0.0073256261614473,6.9223704652147e-05,0.05
D4,40.0,4.0,0.0033073741276727,20.0,0.2208056013912194,1.3734326072528649,0.0027694523134677,7.072113000209787,0.162127254602268,474.64116499917617,2.90510158714958e-05,0.0004683642420507,6.200559565356173e-05,0.0078366855615187,1.8853679201967134e-05,0.05
D5,40.0,4.0,0.0033073741276727,20.0,0.2208056013912194,1.3734326072528649,0.0027694523134677,7.072113000209787,0.162127254602268,474.64116499917617,2.90510158714958e-05,0.0004683642420507,6.200559565356173e-05,0.0078366855615187,1.8853679201967134e-05,0.05
D6,40.0,4.0,0.0033073741276727,20.0,0.2208056013912194,1.3734326072528649,0.0027694523134677,7.072113000209787,0.162127254602268,474.64116499917617,2.90510158714958e-05,0.0004683642420507,6.200559565356173e-05,0.0078366855615187,1.8853679201967134e-05,0.05
D7,40.0,4.0,0.0016646917422817,20.0,0.3886316686544883,4.190736262165738,0.0612051033941677,10.69838837874456,0.2865507321664466,304.4953092669177,0.0002474934020648,0.0022348244657487,4.5794065942433374e-05,0.0006667572441283,4.8270302143852056e-05,0.05
D8,40.0,4.0,0.0016646917422817,20.0,0.3886316686544883,4.190736262165738,0.0612051033941677,10.69838837874456,0.2865507321664466,304.4953092669177,0.0002474934020648,0.0022348244657487,4.5794065942433374e-05,0.0006667572441283,4.8270302143852056e-05,0.05
E1,40.0,4.0,0.0016646917422817,20.0,0.3886316686544883,4.190736262165738,0.0612051033941677,10.69838837874456,0.2865507321664466,304.4953092669177,0.0002474934020648,0.0022348244657487,4.5794065942433374e-05,0.0006667572441283,4.8270302143852056e-05,0.05
E2,40.0,4.0,0.0398233161226763,20.0,2.762379301059253,6.488606895535857,0.005635059292793,9.196312275347644,1.6351824328612286,9.08178957890004,1.1767650451952988e-05,0.0002859699546391,5.353806363544322e-05,0.0003696853425437,3.6890026824938e-05,0.05
E3,40.0,4.0,0.0398233161226763,20.0,2.762379301059253,6.488606895535857,0.005635059292793,9.196312275347644,1.6351824328612286,9.08178957890004,1.1767650451952988e-05,0.0002859699546391,5.353806363544322e-05,0.0003696853425437,3.6890026824938e-05,0.05
E4,40.0,4.0,0.0398233161226763,20.0,2.762379301059253,6.488606895535857,0.005635059292793,9.196312275347644,1.6351824328612286,9.08178957890004,1.1767650451952988e-05,0.0002859699546391,5.353806363544322e-05,0.0003696853425437,3.6890026824938e-05,0.05
E5,40.0,4.0,0.0351215162804129,20.0,0.9986718137576556,5.423431247262421,0.0690602706695001,7.219062395113462,1.854022896867559,201.5868707039568,3.06876396340434e-06,0.0016925550820681,0.0005457818143585,0.0019784461878834,0.0009079683734754,0.05
E6,40.0,4.0,0.0351215162804129,20.0,0.9986718137576556,5.423431247262421,0.0690602706695001,7.219062395113462,1.854022896867559,201.5868707039568,3.06876396340434e-06,0.0016925550820681,0.0005457818143585,0.0019784461878834,0.0009079683734754,0.05
E7,40.0,4.0,0.0351215162804129,20.0,0.9986718137576556,5.423431247262421,0.0690602706695001,7.219062395113462,1.854022896867559,201.5868707039568,3.06876396340434e-06,0.0016925550820681,0.0005457818143585,0.0019784461878834,0.0009079683734754,0.05
E8,40.0,4.0,0.0019441642992178,20.0,1.172598205191895,0.4555511301100879,0.0086329985525481,7.91104502071247,5.109907370640486,43.31402869799594,4.500981741777591e-05,0.0023096290786083,5.0758028476090746e-05,0.0057544858672575,0.0006099448902061,0.05
F1,40.0,4.0,0.0019441642992178,20.0,1.172598205191895,0.4555511301100879,0.0086329985525481,7.91104502071247,5.109907370640486,43.31402869799594,4.500981741777591e-05,0.0023096290786083,5.0758028476090746e-05,0.0057544858672575,0.0006099448902061,0.05
F2,40.0,4.0,0.0019441642992178,20.0,1.172598205191895,0.4555511301100879,0.0086329985525481,7.91104502071247,5.109907370640486,43.31402869799594,4.500981741777591e-05,0.0023096290786083,5.0758028476090746e-05,0.0057544858672575,0.0006099448902061,0.05
F3,40.0,4.0,0.009825786223453,20.0,0.1274930415767119,0.5426489801367458,0.0925832358728872,12.14066001812814,0.3928711975159728,284.7809897158471,0.0001376990885267,0.000154790302053,0.0001825024823545,0.0041633085438042,6.108117412846941e-05,0.05
F4,40.0,4.0,0.009825786223453,20.0,0.1274930415767119,0.5426489801367458,0.0925832358728872,12.14066001812814,0.3928711975159728,284.7809897158471,0.0001376990885267,0.000154790302053,0.0001825024823545,0.0041633085438042,6.108117412846941e-05,0.05
F5,40.0,4.0,0.009825786223453,20.0,0.1274930415767119,0.5426489801367458,0.0925832358728872,12.14066001812814,0.3928711975159728,284.7809897158471,0.0001376990885267,0.000154790302053,0.0001825024823545,0.0041633085438042,6.108117412846941e-05,0.05
F6,40.0,4.0,0.0038306847435375,20.0,0.2836442505753897,1.360558665907659,0.0095208269981898,9.323647723420487,0.5631630359036671,50.28942439371919,3.231703837190892e-05,0.000308197866652,9.805441357685512e-05,0.0008724211588465,9.629316030617112e-05,0.05
F7,40.0,4.0,0.0038306847435375,20.0,0.2836442505753897,1.360558665907659,0.0095208269981898,9.323647723420487,0.5631630359036671,50.28942439371919,3.231703837190892e-05,0.000308197866652,9.805441357685512e-05,0.0008724211588465,9.629316030617112e-05,0.05
F8,40.0,4.0,0.0038306847435375,20.0,0.2836442505753897,1.360558665907659,0.0095208269981898,9.323647723420487,0.5631630359036671,50.28942439371919,3.231703837190892e-05,0.000308197866652,9.805441357685512e-05,0.0008724211588465,9.629316030617112e-05,0.05
