Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,20.064024958107733,79.56188785800943,23.454341872330456,952.6712501837239,-5.056143321426224
Random Forest Regressor,6.258101596908939,43.04308112716183,6.821601186968385,85.6980783512827,0.45521621990157446
Support Vector Regressor,7.793265646616757,45.94969871236664,7.013341577163815,109.92194951671158,0.30122476109633667
Kernel Ridge Regressor,9.801811835309007,52.13629207515928,9.67174658421678,189.61819724411268,-0.20540530496679898
K-NN Regressor,7.607178947368422,44.86779493487787,8.063423869847098,122.88797604210525,0.21879956464787165
Gaussian Process Regressor,9.744240977978489,56.91595222579856,7.456021206082081,150.54248446246086,0.04299950093757998
Gradient Boosting Regressor,6.557422432599227,44.65923988568494,7.203100819499383,94.88445037542822,0.39681833545671863
TPOT Regressor 1,5.786471949863085,42.830577038882936,6.581718859536834,76.80228077253513,0.511766918880789
TPOT Regressor 2,6.1702216797735945,42.793940676844386,6.230408503401164,76.88962569680162,0.5112116660801456
TPOT Regressor 3,6.448260581535655,43.60978721908676,6.572034010045631,84.77169555658301,0.46110524717527746
TPOT Regressor 4,5.974201842471595,40.92617360580106,6.227030182567338,74.46699254919561,0.5266123759832841
Ensemble Model,6.210365745033089,42.975929857650485,6.227683089752345,77.3526793534677,0.5082680280625823
