Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL],order
P1,A1,P2,A1,35.29411764705904,4
P1,A1,P2,B1,35.29411764705904,4
P1,A1,P2,C1,35.29411764705904,4
P1,A1,P2,D1,35.294117647058854,4
P1,A1,P2,E1,35.294117647058854,4
P1,A1,P2,F1,35.294117647058854,4
P1,A1,P2,A2,35.294117647058386,4
P1,A1,P2,B2,35.294117647058386,4
P1,A1,P2,C2,35.294117647058386,4
P1,A1,P2,D2,35.29411764705859,4
P1,A1,P2,E2,35.29411764705859,4
P1,A1,P2,F2,35.29411764705859,4
P1,A1,P2,A3,35.29411764705858,4
P1,A1,P2,B3,35.29411764705858,4
P1,A1,P2,C3,35.29411764705858,4
P1,A1,P2,D3,35.294117647058954,4
P1,A1,P2,E3,35.294117647058954,4
P1,A1,P2,F3,35.294117647058954,4
P1,A1,P2,A4,35.294117647058656,4
P1,A1,P2,B4,35.294117647058656,4
P1,A1,P2,C4,35.294117647058656,4
P1,A1,P2,D4,35.2941176470587,4
P1,A1,P2,E4,35.2941176470587,4
P1,A1,P2,F4,35.2941176470587,4
P1,A1,P2,A5,35.294117647059025,4
P1,A1,P2,B5,35.294117647059025,4
P1,A1,P2,C5,35.294117647059025,4
P1,A1,P2,D5,35.29411764705878,4
P1,A1,P2,E5,35.29411764705878,4
P1,A1,P2,F5,35.29411764705878,4
P1,A1,P2,A6,35.294117647058634,4
P1,A1,P2,B6,35.294117647058634,4
P1,A1,P2,C6,35.294117647058634,4
P1,A1,P2,D6,35.2941176470588,4
P1,A1,P2,E6,35.2941176470588,4
P1,A1,P2,F6,35.2941176470588,4
P1,A1,P2,A7,35.29411764705866,4
P1,A1,P2,B7,35.29411764705866,4
P1,A1,P2,C7,35.29411764705866,4
P1,A1,P2,D7,35.294117647058876,4
P1,A1,P2,E7,35.294117647058876,4
P1,A1,P2,F7,35.294117647058876,4
P1,A1,P2,A8,35.294117647058606,4
P1,A1,P2,B8,35.294117647058606,4
P1,A1,P2,C8,35.294117647058606,4
P1,A1,P2,D8,35.29411764705897,4
P1,A1,P2,E8,35.29411764705897,4
P1,A1,P2,F8,35.29411764705897,4
P4,A1,P2,A1,34.59383750000001,4
P4,A1,P2,B1,34.59383750000001,4
P4,A1,P2,C1,34.59383750000001,4
P4,A1,P2,D8,51.12241250000001,4
P4,A1,P2,E8,51.12241250000001,4
P4,A1,P2,F8,51.12241250000001,4
P1,A2,P2,D4,31.319677999999996,4
P1,A2,P2,E4,31.319677999999996,4
P1,A2,P2,F4,31.319677999999996,4
P1,B2,P2,A1,44.141709507575754,4
P1,B2,P2,B1,44.141709507575754,4
P1,B2,P2,C1,44.141709507575754,4
P1,B2,P2,D1,44.528349772727275,4
P1,B2,P2,E1,44.528349772727275,4
P1,B2,P2,F1,44.528349772727275,4
P1,B2,P2,A2,43.96338715909091,4
P1,B2,P2,B2,43.96338715909091,4
P1,B2,P2,C2,43.96338715909091,4
P1,B2,P2,D2,44.85943318181818,4
P1,B2,P2,E2,44.85943318181818,4
P1,B2,P2,F2,44.85943318181818,4
P1,B2,P2,A3,44.85943318181818,4
P1,B2,P2,B3,44.85943318181818,4
P1,B2,P2,C3,44.85943318181818,4
P1,B2,P2,D3,44.85943291666666,4
P1,B2,P2,E3,44.85943291666666,4
P1,B2,P2,F3,44.85943291666666,4
P1,B2,P2,A4,36.61870107954545,4
P1,B2,P2,B4,36.61870107954545,4
P1,B2,P2,C4,36.61870107954545,4
P5,B1,P2,A1,75.550685,4
P5,B1,P2,B1,75.550685,4
P5,B1,P2,C1,75.550685,4
P5,B1,P2,D1,69.485505,4
P5,B1,P2,E1,69.485505,4
P5,B1,P2,F1,69.485505,4
P5,B1,P2,D8,47.31207,4
P5,B1,P2,E8,47.31207,4
P5,B1,P2,F8,47.31207,4
P1,A3,P2,A1,43.41032038461538,4
P1,A3,P2,B1,43.41032038461538,4
P1,A3,P2,C1,43.41032038461538,4
P1,A3,P2,D1,44.28696048076923,4
P1,A3,P2,E1,44.28696048076923,4
P1,A3,P2,F1,44.28696048076923,4
P1,A3,P2,A2,45.62990625,4
P1,A3,P2,B2,45.62990625,4
P1,A3,P2,C2,45.62990625,4
P1,A3,P2,D2,32.39100403846154,4
P1,A3,P2,E2,32.39100403846154,4
P1,A3,P2,F2,32.39100403846154,4
P1,A3,P2,A3,32.391003653846155,4
P1,A3,P2,B3,32.391003653846155,4
P1,A3,P2,C3,32.391003653846155,4
P1,A3,P2,D3,32.39095490384616,4
P1,A3,P2,E3,32.39095490384616,4
P1,A3,P2,F3,32.39095490384616,4
P1,A3,P2,D4,47.0205289423077,4
P1,A3,P2,E4,47.0205289423077,4
P1,A3,P2,F4,47.0205289423077,4
P1,A3,P2,A5,45.56544480769231,4
P1,A3,P2,B5,45.56544480769231,4
P1,A3,P2,C5,45.56544480769231,4
P1,A3,P2,D5,45.71331875,4
P1,A3,P2,E5,45.71331875,4
P1,A3,P2,F5,45.71331875,4
P1,A3,P2,A6,42.88282259615385,4
P1,A3,P2,B6,42.88282259615385,4
P1,A3,P2,C6,42.88282259615385,4
P1,A3,P2,D6,43.97611038461539,4
P1,A3,P2,E6,43.97611038461539,4
P1,A3,P2,F6,43.97611038461539,4
P1,A3,P2,A7,45.24200432692308,4
P1,A3,P2,B7,45.24200432692308,4
P1,A3,P2,C7,45.24200432692308,4
P1,A3,P2,D7,49.12219884615386,4
P1,A3,P2,E7,49.12219884615386,4
