Well,H3BO3[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM]
A1,0.03656750255145137,1.3880595599007346,1.010493965981457,0.01056712913103914,13.877020170541345,0.7623633001323998,44.602735860337496,1.2518995056967214e-05,0.00018493528286017,1.826726801356744e-05,0.0007420928576749071,0.0008078041050879783
A2,0.03656750255145137,1.3880595599007346,1.010493965981457,0.01056712913103914,13.877020170541345,0.7623633001323998,44.602735860337496,1.2518995056967214e-05,0.00018493528286017,1.826726801356744e-05,0.0007420928576749071,0.0008078041050879783
A3,0.03656750255145137,1.3880595599007346,1.010493965981457,0.01056712913103914,13.877020170541345,0.7623633001323998,44.602735860337496,1.2518995056967214e-05,0.00018493528286017,1.826726801356744e-05,0.0007420928576749071,0.0008078041050879783
A4,0.004091232690210345,0.2859410505566826,1.1143729994069216,0.07211405159822101,8.571531631224877,0.08034032040343733,334.83556494596553,0.0002755065430887565,6.473904327317024e-05,0.0007231689386286837,0.0005228012451326178,0.0007187340955676775
A5,0.004091232690210345,0.2859410505566826,1.1143729994069216,0.07211405159822101,8.571531631224877,0.08034032040343733,334.83556494596553,0.0002755065430887565,6.473904327317024e-05,0.0007231689386286837,0.0005228012451326178,0.0007187340955676775
A6,0.004091232690210345,0.2859410505566826,1.1143729994069216,0.07211405159822101,8.571531631224877,0.08034032040343733,334.83556494596553,0.0002755065430887565,6.473904327317024e-05,0.0007231689386286837,0.0005228012451326178,0.0007187340955676775
A7,0.0027570260167719437,0.03718699852212328,0.5688533552733724,0.006260967866307123,11.635449339601502,3.9255192191109667,29.412474332091975,6.618855731061908e-06,0.002681295654563729,0.000776487432636303,0.005502314237733654,7.93984170968789e-05
A8,0.0027570260167719437,0.03718699852212328,0.5688533552733724,0.006260967866307123,11.635449339601502,3.9255192191109667,29.412474332091975,6.618855731061908e-06,0.002681295654563729,0.000776487432636303,0.005502314237733654,7.93984170968789e-05
B1,0.0027570260167719437,0.03718699852212328,0.5688533552733724,0.006260967866307123,11.635449339601502,3.9255192191109667,29.412474332091975,6.618855731061908e-06,0.002681295654563729,0.000776487432636303,0.005502314237733654,7.93984170968789e-05
B2,0.03267433101869798,0.7280920914493528,4.631594886636822,0.0037822724892644178,14.137994253089438,0.25645336839603455,28.626215036436285,1.005259699116253e-05,8.532294756052578e-05,3.718648253960222e-05,0.002562122098002507,0.0003932054767243104
B3,0.03267433101869798,0.7280920914493528,4.631594886636822,0.0037822724892644178,14.137994253089438,0.25645336839603455,28.626215036436285,1.005259699116253e-05,8.532294756052578e-05,3.718648253960222e-05,0.002562122098002507,0.0003932054767243104
B4,0.03267433101869798,0.7280920914493528,4.631594886636822,0.0037822724892644178,14.137994253089438,0.25645336839603455,28.626215036436285,1.005259699116253e-05,8.532294756052578e-05,3.718648253960222e-05,0.002562122098002507,0.0003932054767243104
B5,0.022737768694939448,0.265485243265546,0.8296704671468172,0.008941896172887995,10.86962657873436,0.9426353921065656,436.8560305726209,6.752642909677031e-05,0.002070450807995356,6.982300149846701e-05,0.006247661525224058,7.292959477404088e-05
B6,0.022737768694939448,0.265485243265546,0.8296704671468172,0.008941896172887995,10.86962657873436,0.9426353921065656,436.8560305726209,6.752642909677031e-05,0.002070450807995356,6.982300149846701e-05,0.006247661525224058,7.292959477404088e-05
B7,0.022737768694939448,0.265485243265546,0.8296704671468172,0.008941896172887995,10.86962657873436,0.9426353921065656,436.8560305726209,6.752642909677031e-05,0.002070450807995356,6.982300149846701e-05,0.006247661525224058,7.292959477404088e-05
B8,0.027821570448710132,0.1910122581745097,3.7310131655335277,0.05200976498793526,12.82118781340289,0.3966802018553523,461.36547782930404,0.00015128654890702488,0.0015551224139978826,2.515325085669501e-05,0.004011630649180187,0.00026987667884824357
C1,0.027821570448710132,0.1910122581745097,3.7310131655335277,0.05200976498793526,12.82118781340289,0.3966802018553523,461.36547782930404,0.00015128654890702488,0.0015551224139978826,2.515325085669501e-05,0.004011630649180187,0.00026987667884824357
C2,0.027821570448710132,0.1910122581745097,3.7310131655335277,0.05200976498793526,12.82118781340289,0.3966802018553523,461.36547782930404,0.00015128654890702488,0.0015551224139978826,2.515325085669501e-05,0.004011630649180187,0.00026987667884824357
C3,0.011578004122300513,0.17716261368252428,1.8346032910048795,0.08635844392379077,11.758068292766636,0.4495431811382772,199.77543609941546,2.7376351389064652e-05,3.3495649824879714e-05,0.00014227503290909863,0.0034471918141961056,0.0008299120575150379
