Well,H3BO3[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],OD340_pred,OD340_std,Label
A1,0.018833221760146516,0.5577713129059813,0.4799135207197313,0.07301613989900929,15.011861727552754,0.039553049035195575,662.7119369535679,0.0002623066065783257,0.0028309050137029983,0.001193005062690126,0.0007334670519457548,3.9708040092761617e-05,0.4964403443951826,0.09911374730613944,explore
B1,0.018833221760146516,0.5577713129059813,0.4799135207197313,0.07301613989900929,15.011861727552754,0.039553049035195575,662.7119369535679,0.0002623066065783257,0.0028309050137029983,0.001193005062690126,0.0007334670519457548,3.9708040092761617e-05,0.4964403443951826,0.09911374730613944,explore
C1,0.018833221760146516,0.5577713129059813,0.4799135207197313,0.07301613989900929,15.011861727552754,0.039553049035195575,662.7119369535679,0.0002623066065783257,0.0028309050137029983,0.001193005062690126,0.0007334670519457548,3.9708040092761617e-05,0.4964403443951826,0.09911374730613944,explore
D1,0.01829785422437272,0.5577277627278099,0.4799022250142163,0.07136741848784886,15.011861594485804,0.039413605566668924,662.7119359581149,0.00026527130699861476,0.0026727701814397765,0.001118397956978021,0.0016382086136684662,1e-05,0.49531042474945275,0.0990551685697553,explore
E1,0.01829785422437272,0.5577277627278099,0.4799022250142163,0.07136741848784886,15.011861594485804,0.039413605566668924,662.7119359581149,0.00026527130699861476,0.0026727701814397765,0.001118397956978021,0.0016382086136684662,1e-05,0.49531042474945275,0.0990551685697553,explore
F1,0.01829785422437272,0.5577277627278099,0.4799022250142163,0.07136741848784886,15.011861594485804,0.039413605566668924,662.7119359581149,0.00026527130699861476,0.0026727701814397765,0.001118397956978021,0.0016382086136684662,1e-05,0.49531042474945275,0.0990551685697553,explore
A2,0.021190500824396746,0.7478167906214623,0.70024066117983,0.06303808274718883,16.489651471577176,0.10566053444043645,470.24917332672317,0.0002462801512307169,0.0021488115869413194,0.0014217231928595874,0.0026134168463445703,0.00022723196904782573,0.7072187421773954,0.07269703386389989,exploit
B2,0.021190500824396746,0.7478167906214623,0.70024066117983,0.06303808274718883,16.489651471577176,0.10566053444043645,470.24917332672317,0.0002462801512307169,0.0021488115869413194,0.0014217231928595874,0.0026134168463445703,0.00022723196904782573,0.7072187421773954,0.07269703386389989,exploit
C2,0.021190500824396746,0.7478167906214623,0.70024066117983,0.06303808274718883,16.489651471577176,0.10566053444043645,470.24917332672317,0.0002462801512307169,0.0021488115869413194,0.0014217231928595874,0.0026134168463445703,0.00022723196904782573,0.7072187421773954,0.07269703386389989,exploit
D2,0.020822332716809548,0.7965484021281849,1.014489563053254,0.060333352527549254,16.197726220921343,0.08709967490143544,499.93037426999115,0.00024638377584706533,0.002149940787030535,0.0011575886146147588,0.001760637792353613,0.00015108945083503389,0.7050988925368009,0.07274178944031369,exploit
