Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l]
A1,40.0,4.0,0.0768721142760221,20.0,0.6733522502977924,4.035056647765615,0.0449319803975701,37.45024093673196,1.0857988781285095,589.4113094911538,0.0003524029934601,0.0024700704896013,0.0057444936560011,0.0065872952024489,5.683718171320457e-05,0.05
B1,40.0,4.0,0.0768721142760221,20.0,0.6733522502977924,4.035056647765615,0.0449319803975701,37.45024093673196,1.0857988781285095,589.4113094911538,0.0003524029934601,0.0024700704896013,0.0057444936560011,0.0065872952024489,5.683718171320457e-05,0.05
C1,40.0,4.0,0.0768721142760221,20.0,0.6733522502977924,4.035056647765615,0.0449319803975701,37.45024093673196,1.0857988781285095,589.4113094911538,0.0003524029934601,0.0024700704896013,0.0057444936560011,0.0065872952024489,5.683718171320457e-05,0.05
D1,40.0,4.0,0.0745688311513556,20.0,0.7104004143121228,3.8652751096060807,0.0436976707938086,37.79306931659557,1.0028218363624737,589.6407811082532,0.0003906029215826,0.0031626156814657,0.0057994554976991,0.0122227831365129,0.0002699033273001,0.05
E1,40.0,4.0,0.0745688311513556,20.0,0.7104004143121228,3.8652751096060807,0.0436976707938086,37.79306931659557,1.0028218363624737,589.6407811082532,0.0003906029215826,0.0031626156814657,0.0057994554976991,0.0122227831365129,0.0002699033273001,0.05
F1,40.0,4.0,0.0745688311513556,20.0,0.7104004143121228,3.8652751096060807,0.0436976707938086,37.79306931659557,1.0028218363624737,589.6407811082532,0.0003906029215826,0.0031626156814657,0.0057994554976991,0.0122227831365129,0.0002699033273001,0.05
A2,40.0,4.0,0.0793914519491773,20.0,0.8059417925303598,3.8347960822046208,0.0477264767560384,36.90714972279662,1.1955132709270693,589.465450581406,0.0003627213894403,0.0029574238637307,0.005811461040335,0.0085067928921757,0.0008646386040986,0.05
B2,40.0,4.0,0.0793914519491773,20.0,0.8059417925303598,3.8347960822046208,0.0477264767560384,36.90714972279662,1.1955132709270693,589.465450581406,0.0003627213894403,0.0029574238637307,0.005811461040335,0.0085067928921757,0.0008646386040986,0.05
C2,40.0,4.0,0.0793914519491773,20.0,0.8059417925303598,3.8347960822046208,0.0477264767560384,36.90714972279662,1.1955132709270693,589.465450581406,0.0003627213894403,0.0029574238637307,0.005811461040335,0.0085067928921757,0.0008646386040986,0.05
D2,40.0,4.0,0.0753835455186637,20.0,0.5095005529464636,11.382077039249008,0.0450435398604931,36.538655868389654,1.22658045448396,589.5640781288278,0.000577149576021,0.002423680594249,0.0053220058560205,0.0123542742179759,0.0003299178625334,0.05
